Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Apoio,Ataque,Último passe,Drible,Participação_percentil,Defesa_percentil,Apoio_percentil,Ataque_percentil,ùltimo_passe_percentil,Drible_percentil
R. Cabral,Argentinos Juniors,LATERAL,ARG1,-1.51,-3.6,-1.06,0.53,1.09,3.93,10.0,1.0,16.0,71.0,81.0,100.0
L. Montoya,Tigre,LATERAL,ARG1,1.2,0.18,-0.54,0.44,-1.12,0.74,83.0,57.0,35.0,68.0,23.0,85.0
J. Bay,Instituto,LATERAL,ARG1,-0.74,-0.33,-2.42,-0.84,0.69,-0.32,33.0,39.0,2.0,31.0,74.0,42.0
L. Sánchez,Argentinos Juniors,LATERAL,ARG1,1.75,1.08,-0.42,-0.07,-1.48,-0.88,92.0,79.0,40.0,50.0,18.0,19.0
C. Ibáñez,Huracán,LATERAL,ARG1,1.77,2.54,-0.72,-0.15,-1.89,-0.49,93.0,98.0,28.0,47.0,8.0,34.0
M. Ortega,Tigre,LATERAL,ARG1,0.8,-0.91,0.22,0.35,0.16,0.0,76.0,26.0,57.0,64.0,61.0,58.0
L. Gómez,Gimnasia La Plata,LATERAL,ARG1,-0.42,0.16,0.92,2.57,3.13,-0.22,39.0,56.0,85.0,96.0,96.0,48.0
M. Saracchi,Boca Juniors,LATERAL,ARG1,2.38,-0.18,0.77,-0.64,1.75,-0.12,98.0,43.0,83.0,39.0,88.0,51.0
M. Isla,Independiente,LATERAL,ARG1,-0.52,-2.53,-0.1,0.21,-1.14,-0.95,38.0,5.0,51.0,57.0,22.0,16.0
L. Rodríguez,Instituto,LATERAL,ARG1,-1.68,-0.58,-0.83,1.45,-1.31,-1.42,7.0,32.0,24.0,89.0,20.0,2.0
G. Compagnucci,U Craiova 1948,LATERAL,ARG1,-1.97,-2.64,-0.41,0.44,0.56,0.16,2.0,3.0,42.0,67.0,73.0,66.0
A. Sández,Rosario Central,LATERAL,ARG1,-0.75,-0.53,-0.43,-2.35,-2.6,0.03,31.0,34.0,39.0,1.0,1.0,60.0
L. Esquivel,Athletico Paranaense,LATERAL,ARG1,0.64,1.65,1.45,0.58,-0.27,0.09,72.0,88.0,90.0,73.0,47.0,62.0
L. Jara,Vélez Sarsfield,LATERAL,ARG1,0.46,1.33,-0.3,-1.48,-0.74,-0.63,66.0,83.0,43.0,12.0,35.0,25.0
S. Simón,River Plate,LATERAL,ARG1,3.93,-0.03,2.13,2.81,0.53,0.22,100.0,48.0,95.0,97.0,72.0,68.0
T. Escalante,Defensa y Justicia,LATERAL,ARG1,0.17,0.1,-0.86,0.6,3.27,-1.17,57.0,53.0,22.0,74.0,97.0,9.0
M. Herrera,River Plate,LATERAL,ARG1,1.9,1.96,0.35,1.84,-0.0,-1.19,96.0,92.0,62.0,92.0,55.0,8.0
L. Diarte,Belgrano,LATERAL,ARG1,-1.04,0.23,-0.97,-0.3,-1.15,-1.24,25.0,60.0,19.0,43.0,21.0,5.0
H. De La Fuente,Atlético Tucumán,LATERAL,ARG1,0.25,0.9,-0.72,-1.94,-2.15,-0.0,60.0,76.0,29.0,4.0,7.0,56.0
E. Mancuso,Estudiantes,LATERAL,ARG1,1.36,0.93,-0.74,0.77,0.48,0.0,86.0,77.0,27.0,80.0,70.0,57.0
R. Lozano,Platense,LATERAL,ARG1,-0.39,0.74,0.26,1.12,-0.51,-0.85,41.0,71.0,58.0,86.0,39.0,21.0
B. Barros Schelotto,Gimnasia La Plata,LATERAL,ARG1,-1.13,-1.33,-1.3,0.99,0.41,-1.02,22.0,19.0,7.0,83.0,69.0,12.0
B. Pittón,Newell's Old Boys,LATERAL,ARG1,0.21,-0.92,0.42,-0.67,0.36,-1.03,59.0,25.0,70.0,36.0,67.0,11.0
V. Barco,Boca Juniors,LATERAL,ARG1,1.89,-1.1,2.88,2.95,4.53,2.62,95.0,24.0,100.0,98.0,99.0,99.0
M. Benítez,Central Córdoba SdE,LATERAL,ARG1,-0.17,-1.95,-0.74,0.87,-1.1,-0.89,49.0,10.0,26.0,81.0,24.0,17.0
M. Melluso,Pafos,LATERAL,ARG1,1.31,5.72,0.28,0.94,0.4,-0.26,85.0,100.0,59.0,82.0,68.0,45.0
D. Cáceres,Defensa y Justicia,LATERAL,ARG1,-0.31,-0.79,1.74,0.45,-0.48,-0.42,42.0,28.0,92.0,69.0,43.0,40.0
N. Tripichio,Defensa y Justicia,LATERAL,ARG1,1.73,1.89,-0.6,-0.94,1.52,-0.08,91.0,90.0,34.0,26.0,86.0,53.0
J. Gómez,Central Córdoba SdE,LATERAL,ARG1,0.08,0.86,-1.41,-0.69,-1.85,-0.85,55.0,75.0,6.0,35.0,9.0,20.0
J. García,Vélez Sarsfield,LATERAL,ARG1,0.13,0.2,-1.19,-0.89,-1.77,-0.71,56.0,58.0,10.0,29.0,11.0,24.0
M. Romero,Instituto,LATERAL,ARG1,-1.08,0.65,-1.06,-1.36,-1.66,-0.8,24.0,68.0,17.0,16.0,12.0,23.0
D. Pérez,Independiente,LATERAL,ARG1,-0.07,0.41,1.78,0.77,-0.4,-0.18,53.0,64.0,93.0,79.0,44.0,50.0
M. Garay,Tigre,LATERAL,ARG1,1.66,-0.33,0.59,0.53,3.28,0.23,89.0,38.0,76.0,70.0,98.0,70.0
N. Colazo,Gimnasia La Plata,LATERAL,ARG1,-1.65,-1.16,-1.12,0.06,-0.17,-1.21,8.0,23.0,14.0,55.0,53.0,6.0
M. Barcia,Independiente,LATERAL,ARG1,0.43,1.7,-0.74,-0.4,1.0,2.33,65.0,89.0,25.0,42.0,79.0,98.0
Elías Gómez,Vélez Sarsfield,LATERAL,ARG1,-0.96,-1.75,-0.1,0.55,-0.26,-0.04,26.0,14.0,52.0,72.0,48.0,55.0
F. Fabra,Boca Juniors,LATERAL,ARG1,0.92,-2.06,2.75,1.55,0.89,0.28,78.0,9.0,99.0,91.0,78.0,71.0
M. Weigandt,Boca Juniors,LATERAL,ARG1,0.58,-1.24,-0.69,-1.65,1.07,0.32,70.0,21.0,31.0,9.0,80.0,73.0
Á. Martino,Newell's Old Boys,LATERAL,ARG1,-0.4,0.13,0.76,-0.73,-0.31,0.6,40.0,55.0,81.0,33.0,46.0,82.0
