Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Construção,Ataque,Último passe,Ameaça Ofensiva,Drible,Participação_percentil,Defesa_percentil,Construção_percentil,Ataque_percentil,Último passe_percentil,Ameaça ofensiva_percentil,Drible_percentil
J. Chicco,Leganés,MEIO-CAMPO,ARG1,0.31,0.4,0.72,-0.54,-1.8,-1.16,-1.26,60,60,74,41,12,31,1
C. Ordoñez,Vélez Sarsfield,MEIO-CAMPO,ARG1,0.48,2.06,-1.89,-1.55,0.62,-1.68,-0.28,65,92,7,13,72,20,50
D. Calcaterra,Sarmiento,MEIO-CAMPO,ARG1,-0.74,1.28,-1.82,-1.98,-1.79,-0.43,-0.81,28,77,9,5,13,50,23
C. Vega,Colón,MEIO-CAMPO,ARG1,1.21,2.16,0.83,-0.9,-2.02,-1.02,-0.66,88,93,76,27,7,36,32
S. Moreyra,Colón,MEIO-CAMPO,ARG1,0.49,2.65,-0.73,-1.63,-1.67,-1.91,-0.74,66,99,39,10,18,9,25
C. Zabala,Tigre,MEIO-CAMPO,ARG1,1.27,0.17,1.55,1.34,-0.15,0.2,0.74,91,53,85,83,55,65,80
J. Fernández,Lanús,MEIO-CAMPO,ARG1,-0.45,2.51,-0.93,-1.42,-2.03,-1.97,-1.26,35,95,31,17,6,7,1
L. Picco,Platense,MEIO-CAMPO,ARG1,1.2,3.87,-0.73,-1.79,-1.77,-1.6,-0.92,87,100,41,7,14,22,12
T. O'Connor,Rosario Central,MEIO-CAMPO,ARG1,0.03,0.38,-0.1,-0.01,1.79,0.25,1.12,50,59,53,58,82,66,88
D. Ortegoza,Talleres Córdoba,MEIO-CAMPO,ARG1,0.89,1.02,-1.7,-1.74,-1.5,-0.42,0.16,80,72,12,9,23,50,66
B. Kociubinski,Atlético Tucumán,MEIO-CAMPO,ARG1,0.19,0.35,0.65,-0.54,-1.12,0.05,-0.83,55,58,73,42,30,60,22
J. Mosqueira,Unión Santa Fe,MEIO-CAMPO,ARG1,-1.54,-0.93,-1.42,-1.37,-1.57,-0.79,-0.97,11,26,18,18,21,41,8
A. Varela,Porto,MEIO-CAMPO,ARG1,1.04,-0.5,0.1,-1.1,-1.2,-2.11,-0.68,85,38,61,23,29,2,29
