,Atleta,Equipe Janela Análise,Idade,Liga,Posição
0,A. Bareiro,San Lorenzo,27,ARG1,ATACANTE
1,A. Canelo,Independiente,31,ARG1,ATACANTE
2,A. Chávez,Nasaf,32,ARG1,ATACANTE
3,A. Domínguez,Barracas Central,27,ARG1,ATACANTE
4,A. Marinelli,Sarmiento,24,ARG1,ATACANTE
5,A. Martínez,Instituto,31,ARG1,ATACANTE
6,A. Osorio,Vélez Sarsfield,21,ARG1,ATACANTE
7,A. Véliz,Tottenham Hotspur,20,ARG1,ATACANTE
8,B. Armoa,Tigre,23,ARG1,ATACANTE
9,B. Sepúlveda,Barracas Central,31,ARG1,ATACANTE
10,C. Tarragona,Gimnasia La Plata,32,ARG1,ATACANTE
11,D. Barrea,Godoy Cruz,22,ARG1,ATACANTE
12,D. Benedetto,Boca Juniors,33,ARG1,ATACANTE
13,E. Ramírez,Gimnasia La Plata,27,ARG1,ATACANTE
14,F. Castelli,Delfin,28,ARG1,ATACANTE
15,F. Jara,Belgrano,35,ARG1,ATACANTE
16,F. Londoño,Arsenal,23,ARG1,ATACANTE
17,F. Pons,Arsenal,27,ARG1,ATACANTE
18,G. Ávalos,Argentinos Juniors,33,ARG1,ATACANTE
19,G. Carrillo,Estudiantes,32,ARG1,ATACANTE
20,G. Hauche,Racing Club,37,ARG1,ATACANTE
21,G. Verón,Argentinos Juniors,22,ARG1,ATACANTE
22,I. Machuca,Fortaleza,23,ARG1,ATACANTE
23,J. Benítez,Colón,31,ARG1,ATACANTE
24,J. Dómina,Unión Santa Fe,18,ARG1,ATACANTE
25,J. Morales,Unión Santa Fe,20,ARG1,ATACANTE
26,J. Recalde,Newell's Old Boys,31,ARG1,ATACANTE
27,J. Toledo,Colón,37,ARG1,ATACANTE
28,L. Beltrán,Fiorentina,22,ARG1,ATACANTE
29,L. Díaz,Lanús,31,ARG1,ATACANTE
30,L. Gamba,Central Córdoba SdE,36,ARG1,ATACANTE
31,L. Gondou,Argentinos Juniors,22,ARG1,ATACANTE
32,L. Heredia,Argentinos Juniors,27,ARG1,ATACANTE
33,L. Leal,Arsenal,36,ARG1,ATACANTE
34,L. López,Sarmiento,40,ARG1,ATACANTE
35,L. Melano,Neftchi,30,ARG1,ATACANTE
36,L. Passerini,Belgrano,29,ARG1,ATACANTE
37,L. Pratto,Defensa y Justicia,35,ARG1,ATACANTE
38,M. Borja,River Plate,30,ARG1,ATACANTE
39,M. Cauteruccio,Independiente,36,ARG1,ATACANTE
40,M. Cóccaro,Huracán,26,ARG1,ATACANTE
41,M. Coronel,Atlético Tucumán,25,ARG1,ATACANTE
42,M. Estigarribia,Atlético Tucumán,28,ARG1,ATACANTE
43,M. Giménez,Banfield,27,ARG1,ATACANTE
44,M. Giménez,Independiente,24,ARG1,ATACANTE
45,M. Méndez,Estudiantes,24,ARG1,ATACANTE
46,M. Merentiel,Boca Juniors,27,ARG1,ATACANTE
47,M. Quiroga,Platense,33,ARG1,ATACANTE
48,M. Retegui,Genoa,24,ARG1,ATACANTE
49,M. Romero,Racing Club,24,ARG1,ATACANTE
50,M. Santos,Juárez,30,ARG1,ATACANTE
51,Mateo Pellegrino,Platense,22,ARG1,ATACANTE
52,N. Bustos,Talleres Córdoba,25,ARG1,ATACANTE
53,N. Cordero,Querétaro,24,ARG1,ATACANTE
54,N. Fernández,Defensa y Justicia,27,ARG1,ATACANTE
55,N. Reniero,Tigre,28,ARG1,ATACANTE
56,N. Servetto,Platense,27,ARG1,ATACANTE
57,P. Solari,River Plate,22,ARG1,ATACANTE
58,P. Vegetti,Vasco da Gama,34,ARG1,ATACANTE
59,R. Ábila,Colón,34,ARG1,ATACANTE
60,R. Martínez,Racing Club,29,ARG1,ATACANTE
61,R. Martínez,Platense,27,ARG1,ATACANTE
62,R. Ruiz Rodríguez,Atlético Tucumán,23,ARG1,ATACANTE
63,S. Castro,Vélez Sarsfield,19,ARG1,ATACANTE
64,S. Pierotti,Colón,22,ARG1,ATACANTE
65,S. Rodríguez,Instituto,26,ARG1,ATACANTE
66,S. Rodríguez,Godoy Cruz,23,ARG1,ATACANTE
67,S. Rondón,River Plate,34,ARG1,ATACANTE
68,S. Sosa,Banfield,29,ARG1,ATACANTE
69,T. Badaloni,Tigre,23,ARG1,ATACANTE
70,T. Nuss,Argentinos Juniors,22,ARG1,ATACANTE
71,V. Depietri,Talleres Córdoba,23,ARG1,ATACANTE
72,W. Mazzantti,Huracán,27,ARG1,ATACANTE
73,A. Ocampo,Platense,26,ARG1,EXTREMO
74,A. Vombergar,Al Ittihad Kalba,28,ARG1,EXTREMO
75,B. Aguirre,Newell's Old Boys,20,ARG1,EXTREMO
76,B. Calderara,Barracas Central,25,ARG1,EXTREMO
77,B. Cuello,Instituto,26,ARG1,EXTREMO
78,B. Domínguez,Gimnasia La Plata,20,ARG1,EXTREMO
79,B. Farioli,Central Córdoba SdE,25,ARG1,EXTREMO
80,B. Martínez,Independiente,24,ARG1,EXTREMO
81,B. Rodríguez,Racing Club,20,ARG1,EXTREMO
82,B. Zapelli,Athletico Paranaense,21,ARG1,EXTREMO
83,C. Aquino,Vélez Sarsfield,32,ARG1,EXTREMO
84,C. Rius,Platense,35,ARG1,EXTREMO
85,D. Valoyes,Juárez,27,ARG1,EXTREMO
86,E. Barco,River Plate,24,ARG1,EXTREMO
87,F. Lencioni,Belgrano,22,ARG1,EXTREMO
88,F. Máter,Barracas Central,25,ARG1,EXTREMO
89,F. Orozco,Lanús,21,ARG1,EXTREMO
90,F. Pizzini,Vélez Sarsfield,30,ARG1,EXTREMO
91,F. Soldano,Gimnasia La Plata,29,ARG1,EXTREMO
92,F. Troyansky,Lanús,26,ARG1,EXTREMO
93,G. Alanís,Defensa y Justicia,29,ARG1,EXTREMO
94,G. Graciani,Instituto,29,ARG1,EXTREMO
95,G. Gudiño,Platense,31,ARG1,EXTREMO
96,G. Infantino,Fiorentina,20,ARG1,EXTREMO
97,G. Mainero,Sarmiento,28,ARG1,EXTREMO
98,G. Prestianni,Vélez Sarsfield,17,ARG1,EXTREMO
99,G. Togni,Defensa y Justicia,26,ARG1,EXTREMO
100,H. Fértoli,Huracán,29,ARG1,EXTREMO
101,I. Leguizamón,San Lorenzo,21,ARG1,EXTREMO
102,J. Acevedo,Instituto,26,ARG1,EXTREMO
103,J. Álvarez,Banfield,27,ARG1,EXTREMO
104,J. Bisanz,Banfield,22,ARG1,EXTREMO
105,J. Campaz,Rosario Central,23,ARG1,EXTREMO
106,J. Gauto,Basel,19,ARG1,EXTREMO
107,J. Pereyra,Atlético Tucumán,24,ARG1,EXTREMO
108,J. Pérez,Newell's Old Boys,20,ARG1,EXTREMO
109,J. Quintero,Racing Club,30,ARG1,EXTREMO
110,L. Besozzi,Grêmio,20,ARG1,EXTREMO
111,L. Brochero,Arsenal,24,ARG1,EXTREMO
112,L. Colitto,Barracas Central,29,ARG1,EXTREMO
113,L. Giaccone,Rosario Central,22,ARG1,EXTREMO
114,L. Guzmán,Arsenal,23,ARG1,EXTREMO
115,L. Janson,Boca Juniors,29,ARG1,EXTREMO
116,L. Langoni,Boca Juniors,21,ARG1,EXTREMO
117,M. Esquivel,Lanús,24,ARG1,EXTREMO
118,M. Rojas,Corinthians,27,ARG1,EXTREMO
119,N. Barrios,San Lorenzo,25,ARG1,EXTREMO
120,N. Sosa,Banfield,27,ARG1,EXTREMO
121,N. Vallejo,Talleres Córdoba,19,ARG1,EXTREMO
122,P. de la Vega,Lanús,22,ARG1,EXTREMO
123,R. Sordo,Newell's Old Boys,23,ARG1,EXTREMO
124,R. Sosa,Talleres Córdoba,24,ARG1,EXTREMO
125,R. Tesuri,Atlético Tucumán,27,ARG1,EXTREMO
126,S. Solari,Defensa y Justicia,25,ARG1,EXTREMO
127,S. Villa,Boca Juniors,27,ARG1,EXTREMO
128,T. Allende,Godoy Cruz,24,ARG1,EXTREMO
129,T. Conechny,Godoy Cruz,25,ARG1,EXTREMO
130,T. Galván,Colón,23,ARG1,EXTREMO
131,U. Sánchez,Belgrano,25,ARG1,EXTREMO
132,A. Costa,Independiente,24,ARG1,LATERAL
133,A. Giay,San Lorenzo,19,ARG1,LATERAL
134,A. Ibacache,Belgrano,24,ARG1,LATERAL
135,Á. Martino,Newell's Old Boys,25,ARG1,LATERAL
136,A. Méndez,Newell's Old Boys,27,ARG1,LATERAL
137,A. Rodríguez,Rosario Central,23,ARG1,LATERAL
138,A. Sández,Rosario Central,22,ARG1,LATERAL
139,A. Sant'Anna,Defensa y Justicia,26,ARG1,LATERAL
140,A. Soto,Defensa y Justicia,30,ARG1,LATERAL
141,A. Spörle,Arsenal,28,ARG1,LATERAL
142,B. Aguirre,Lanús,23,ARG1,LATERAL
143,B. Barros Schelotto,Gimnasia La Plata,23,ARG1,LATERAL
144,B. Blasi,Central Córdoba SdE,27,ARG1,LATERAL
145,B. Pittón,Newell's Old Boys,30,ARG1,LATERAL
146,C. Ibáñez,Huracán,24,ARG1,LATERAL
147,D. Cáceres,Defensa y Justicia,25,ARG1,LATERAL
148,D. Martínez,Rosario Central,33,ARG1,LATERAL
149,D. Pérez,Independiente,34,ARG1,LATERAL
150,E. Coronel,Banfield,26,ARG1,LATERAL
151,E. Díaz,River Plate,28,ARG1,LATERAL
152,E. Insúa,Banfield,32,ARG1,LATERAL
153,E. Mancuso,Estudiantes,24,ARG1,LATERAL
154,E. Más,Colón,34,ARG1,LATERAL
155,E. Meza,Colón,24,ARG1,LATERAL
156,Elías Gómez,Vélez Sarsfield,29,ARG1,LATERAL
